xmag ymag zmag xacc yacc zacc
-2928 3271 -2196 4383 -2559 -2181
-2928 3271 -2196 4701 -2610 -2043
-2928 3271 -2196 4453 -2555 -2372
-2928 3271 -2196 4372 -2808 -2453
-3323 2825 -2162 4505 -2479 -2092
-3323 2825 -2162 4356 -2254 -2172
-3323 2825 -2162 4146 -2120 -2335
-3323 2825 -2162 4047 -1959 -1969
-3323 2825 -2162 4066 -2044 -1914
-3323 2825 -2162 3876 -1964 -2126
-3323 2825 -2162 3930 -2004 -2168
-3667 2390 -2257 4177 -1999 -1989
-3667 2390 -2257 4175 -1939 -1870
-3667 2390 -2257 4119 -1866 -1964
-3667 2390 -2257 4161 -1773 -1773
-3667 2390 -2257 4092 -1680 -1651
-3667 2390 -2257 3976 -1544 -1790
-3852 2004 -2454 3879 -1455 -1694
-3852 2004 -2454 3934 -1466 -1630
-3852 2004 -2454 3903 -1563 -1780
-3852 2004 -2454 3919 -1545 -1782
-3852 2004 -2454 3955 -1455 -1599
-3852 2004 -2454 3901 -1419 -1792
-3852 2004 -2454 3876 -1490 -1722
-4015 1557 -2712 3931 -1523 -1933
-4015 1557 -2712 4073 -1585 -1729
-4015 1557 -2712 4242 -1548 -1632
-4015 1557 -2712 4224 -1515 -1487
-4015 1557 -2712 4381 -1375 -1425
-4015 1557 -2712 4419 -1445 -1427
-4015 1557 -2712 4640 -1568 -1471
-4090 1174 -2994 4747 -1565 -1258
-4090 1174 -2994 4920 -1574 -1231
-4090 1174 -2994 5110 -1496 -1002
-4090 1174 -2994 5194 -1398 -972
-4090 1174 -2994 5392 -1368 -686
-4090 1174 -2994 5616 -1244 -589
-4090 1174 -2994 5822 -1167 -575
-4021 571 -3280 5754 -1166 -390
-4021 571 -3280 5834 -1228 39
-4021 571 -3280 5977 -1379 -31
-4021 571 -3280 6192 -1558 -13
-4021 571 -3280 6279 -1485 311
-4021 571 -3280 6339 -1617 328
-4021 571 -3280 6570 -1848 380
-3854 47 -3729 6352 -2024 460
-3854 47 -3729 6322 -2136 190
-3854 47 -3729 6368 -2328 482
-3854 47 -3729 6251 -2556 615
-3854 47 -3729 6112 -2450 745
-3854 47 -3729 6116 -2606 833
-3854 47 -3729 6054 -2496 1112
-3649 -332 -4197 6059 -2481 1151
-3649 -332 -4197 5963 -2592 1186
-3649 -332 -4197 5915 -2639 1346
-3649 -332 -4197 5898 -2690 1439
-3649 -332 -4197 5781 -2615 1718
-3649 -332 -4197 5827 -2549 1799
-3284 -529 -4655 5765 -2669 1915
-3284 -529 -4655 5712 -2520 1879
-3284 -529 -4655 5974 -2656 2041
-3284 -529 -4655 5836 -2394 1895
-3284 -529 -4655 5542 -2226 2125
-3284 -529 -4655 5685 -2253 1936
-3284 -529 -4655 5785 -1882 2190
-2920 -635 -5102 5848 -1670 2206
-2920 -635 -5102 5864 -1238 2530
-2920 -635 -5102 5962 -1216 2508
-2920 -635 -5102 5809 -853 2319
-2920 -635 -5102 5701 -973 2131
-2920 -635 -5102 5686 -456 2280
-2920 -635 -5102 5393 -95 2583
-2525 -524 -5542 5664 258 2481
-2525 -524 -5542 5218 266 2158
-2525 -524 -5542 5411 441 2024
-2525 -524 -5542 4773 525 2058
-2525 -524 -5542 3903 1515 1595
-2525 -524 -5542 3682 1038 1877
-2525 -524 -5542 2480 1324 1472
-1921 -328 -6035 1524 2604 1691
-1921 -328 -6035 1857 2229 1787
-1921 -328 -6035 1238 753 729
-1921 -328 -6035 -176 184 3070
-1921 -328 -6035 -988 1848 3535
-1921 -328 -6035 2806 5940 -479
-1921 -328 -6035 -187 -3061 2566
-1216 -193 -6263 -684 2256 253
-1216 -193 -6263 -1142 464 1983
-1216 -193 -6263 -983 301 3132
-1216 -193 -6263 267 -27 4049
-1216 -193 -6263 -3116 1042 615
-1216 -193 -6263 -3847 -3785 -575
-968 252 -6377 -1087 143 2243
-968 252 -6377 8 3830 4332
-968 252 -6377 1155 -222 5868
-968 252 -6377 -3375 2065 2254
-968 252 -6377 523 -581 4557
-968 252 -6377 -1801 2185 1924
-968 252 -6377 -635 1755 2100
-564 459 -6421 -938 491 3054
-564 459 -6421 -2244 1166 1548
-564 459 -6421 -996 608 2124
-564 459 -6421 -1300 640 2055
-564 459 -6421 -1021 679 1933
-564 459 -6421 -1037 634 2322
-564 459 -6421 -1666 678 2314
-25 510 -6319 -1936 624 2502
-25 510 -6319 -2239 701 2667
-25 510 -6319 -1950 580 2655
-25 510 -6319 -1843 493 2616
-25 510 -6319 -1957 129 2498
-25 510 -6319 -2017 157 2415
-25 510 -6319 -1962 262 2223
290 768 -6242 -2059 139 1987
290 768 -6242 -2106 -9 2042
290 768 -6242 -2086 -62 1904
290 768 -6242 -1987 -753 1539
290 768 -6242 -2299 -477 1288
290 768 -6242 -2398 -582 1270
290 768 -6242 -2686 -396 1585
822 772 -6024 -2967 -293 1731
822 772 -6024 -1602 -712 1815
822 772 -6024 -3450 -582 1873
822 772 -6024 -2589 -97 2083
822 772 -6024 -2455 -176 1911
822 772 -6024 -2717 -391 1640
822 772 -6024 -2539 -565 1464
943 1166 -5891 -2587 -493 1175
943 1166 -5891 -2726 -104 1205
943 1166 -5891 -2718 -538 1125
943 1166 -5891 -2605 -481 1130
943 1166 -5891 -2514 -462 1166
943 1166 -5891 -2382 -378 958
1353 1391 -5563 -2416 -318 1135
1353 1391 -5563 -2547 -342 1014
1353 1391 -5563 -2571 -437 991
1353 1391 -5563 -2687 -658 880
1353 1391 -5563 -2705 -745 650
1353 1391 -5563 -2607 -460 830
1353 1391 -5563 -1643 -851 -245
1373 1872 -5281 -2768 -388 338
1373 1872 -5281 -2370 -822 553
1373 1872 -5281 -2309 -393 -19
1373 1872 -5281 -1743 -359 -128
1373 1872 -5281 -1643 -351 -407
1373 1872 -5281 -1730 -522 -401
1373 1872 -5281 -1984 -2 630
1466 2461 -4857 -366 958 2844
1466 2461 -4857 -1075 -133 -237
1466 2461 -4857 -192 -746 -1918
1466 2461 -4857 730 -3352 -2125
1466 2461 -4857 3364 860 -7581
1466 2461 -4857 8492 21836 21695
1466 2461 -4857 3024 -1990 -4561
1128 3079 -4289 -3128 -2080 150
1128 3079 -4289 3705 -2773 -2388
1128 3079 -4289 5501 2414 -2145
1128 3079 -4289 452 562 1065
1128 3079 -4289 5463 -4683 -5894
1128 3079 -4289 3287 -635 -1482
1128 3079 -4289 7336 -7752 -3412
96 3800 -3923 4915 -3361 -6906
96 3800 -3923 -423 -1815 -3436
96 3800 -3923 5311 -1561 -2160
96 3800 -3923 4864 -1986 -3181
96 3800 -3923 5742 -3852 2300
96 3800 -3923 4107 2302 -4275
-1189 3996 -3523 -453 -817 -1608
-1189 3996 -3523 3262 -3896 -2661
-1189 3996 -3523 4599 -7077 -3846
-1189 3996 -3523 8738 -364 -1680
-1189 3996 -3523 5643 -5640 -3433
-1189 3996 -3523 7284 -2142 -2107
-1189 3996 -3523 6796 -4672 -2560
-2533 3649 -3411 6769 -3989 -2825
-2533 3649 -3411 6832 -3734 -3189
-2533 3649 -3411 7132 -4450 -2407
-2533 3649 -3411 7333 -3519 -2906
-2533 3649 -3411 7184 -3414 -2363
-2533 3649 -3411 7746 -3472 -2397
-2533 3649 -3411 7947 -3935 -3116
-3446 2865 -3393 8188 -4223 -3154
-3446 2865 -3393 7499 -3899 -3217
-3446 2865 -3393 7371 -3169 -2695
-3446 2865 -3393 7658 -2382 -2272
-3446 2865 -3393 7917 -1857 -1767
-3446 2865 -3393 10717 -4464 -3570
-3446 2865 -3393 9126 -3432 -5692
-3928 2299 -3421 7454 -3266 -1530
-3928 2299 -3421 7268 -2076 -2861
-3928 2299 -3421 8069 -1289 -2716
-3928 2299 -3421 7329 -1603 -1589
-3928 2299 -3421 7380 -1652 -1207
-3928 2299 -3421 7749 -1526 -929
-3928 2299 -3421 7645 -1383 -580
-4049 1659 -3651 8152 -1934 -782
-4049 1659 -3651 7951 -2123 -781
-4049 1659 -3651 7880 -2038 -865
-4049 1659 -3651 6946 -2422 -467
-4049 1659 -3651 7618 -1882 -824
-4049 1659 -3651 7696 -869 -683
-4049 1659 -3907 6120 -2076 -189
-3959 1243 -4023 8272 -1762 -505
-3959 1243 -4023 5507 -841 1470
-3959 1243 -4023 5693 -461 745
-3959 1243 -4023 7933 -2035 -1357
-3959 1243 -4023 7338 -4227 -560
-3959 1243 -4023 7681 461 -2121
-3670 1043 -4629 4606 -1500 -200
-3670 1043 -4629 5330 -556 344
-3670 1043 -4629 6208 -768 -679
-3670 1043 -4629 3566 -664 -665
-3670 1043 -4629 2230 424 387
-3670 1043 -4629 4254 -1326 -1300
-3670 1043 -4629 4330 -1030 56
-3230 1018 -5323 4152 -1074 -629
-3230 1018 -5323 4567 -1071 -20
-3230 1018 -5323 3956 -862 -35
-3230 1018 -5323 3791 -1886 622
-3230 1018 -5323 3616 -720 -55
-3230 1018 -5323 3707 -903 624
-3230 1018 -5323 3643 -595 410
-2650 892 -5865 3489 -689 43
-2650 892 -5865 3550 -656 797
-2650 892 -5865 3320 -522 994
-2650 892 -5865 3286 -452 996
-2650 892 -5865 3492 66 1071
-2650 892 -5865 3440 -48 1048
-2650 892 -5865 3651 -154 1397
-2109 652 -6141 3762 -60 1843
-2109 652 -6141 4275 509 1302
-2109 652 -6141 4147 101 1506
-2109 652 -6141 4179 393 1727
-2109 652 -6141 4256 512 1757
-2109 652 -6141 4134 606 1688
-2109 652 -6141 4097 463 1460
-1510 163 -6292 4370 762 1477
-1510 163 -6292 4507 973 1313
-1510 163 -6292 4261 1183 1463
-1510 163 -6292 4309 1379 1355
-1510 163 -6292 3949 1300 1016
-1510 163 -6292 3506 2126 877
-809 -441 -6149 3413 779 949
-809 -441 -6149 3321 2311 1134
-809 -441 -6149 3662 1316 942
-809 -441 -6149 3693 2229 678
-809 -441 -6149 3716 1972 642
-809 -441 -6149 4177 2551 630
-809 -441 -6149 3360 2344 684
-86 -973 -5740 3265 2764 112
-86 -973 -5740 2904 2380 782
-86 -973 -5740 2555 2699 -77
-86 -973 -5740 2964 2548 -151
-86 -973 -5740 2110 1944 -161
-86 -973 -5740 2520 3566 738
-86 -973 -5740 2603 2011 -635
522 -1423 -5173 1307 3791 -86
522 -1423 -5173 221 3388 493
522 -1423 -5173 1745 3695 564
522 -1423 -5173 1775 3765 86
522 -1423 -5173 153 1627 -848
522 -1423 -5173 1178 998 1217
522 -1423 -5173 -728 8130 -2046
576 -1467 -4841 -581 775 3284
576 -1467 -4841 878 3478 936
576 -1467 -4841 1174 4428 1453
576 -1467 -4841 825 4529 1038
576 -1467 -4841 478 4490 787
576 -1467 -4841 -615 4533 1576
576 -1467 -4841 -1934 3862 976
614 -1451 -4553 1127 3417 1118
614 -1451 -4553 144 4328 1211
614 -1451 -4553 1485 3383 2308
614 -1451 -4553 673 2966 1634
614 -1451 -4553 1367 3073 1752
614 -1451 -4553 1289 3319 1382
614 -1451 -4297 1503 3263 1560
219 -1897 -4280 1926 932 3344
219 -1897 -4280 4053 -2151 -1935
219 -1897 -4280 11556 2338 798
219 -1897 -4280 2755 3441 2438
219 -1897 -4280 2657 3495 1367
219 -1897 -4280 2632 4113 2243
-406 -2027 -4208 3061 3871 1982
-406 -2027 -4208 3102 4166 2014
-406 -2027 -4208 2936 4366 2075
-406 -2027 -4208 3323 4317 1900
-406 -2027 -4208 3538 4458 1693
-406 -2027 -4208 3360 4650 1706
-406 -2027 -4208 3198 4734 1814
-879 -2071 -4117 3270 5092 1778
-879 -2071 -4117 3325 4973 1665
-879 -2071 -4117 3047 5656 1129
-879 -2071 -4117 3254 5610 1969
-879 -2071 -4117 2618 5634 1615
-879 -2071 -4117 2660 5410 2027
-879 -2071 -4117 2494 5914 1324
-1328 -1939 -4253 2121 5473 1129
-1328 -1939 -4253 2076 5398 860
-1328 -1939 -4253 1892 5078 861
-1328 -1939 -4253 1863 4927 1028
-1328 -1939 -4253 1681 4775 1319
