xmag ymag zmag
-810 -203 -143
-810 -203 -143
-810 -203 -143
-810 -203 -143
-810 -203 -143
-860 -179 -75
-860 -179 -75
-860 -179 -75
-860 -179 -75
-860 -179 -75
-860 -179 -75
-860 -179 -75
-860 -179 -75
-854 -185 -151
-854 -185 -151
-854 -185 -151
-854 -185 -151
-854 -185 -151
-854 -185 -151
-854 -185 -151
-854 -185 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-825 -193 -151
-834 -170 -113
-834 -170 -113
-834 -170 -113
-834 -170 -113
-834 -170 -113
-834 -170 -113
-834 -170 -113
-834 -170 -113
-820 -197 -143
-820 -197 -143
-820 -197 -143
-820 -197 -143
-820 -197 -143
-820 -197 -143
-820 -197 -143
-820 -197 -143
-875 -187 -138
-875 -187 -138
-875 -187 -138
-875 -187 -138
-875 -187 -138
-875 -187 -138
-875 -187 -138
-875 -187 -138
-842 -185 -140
-842 -185 -140
-842 -185 -140
-842 -185 -140
-842 -185 -140
-842 -185 -140
-842 -185 -140
-842 -185 -140
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -178 -126
-857 -186 -128
-857 -186 -128
-857 -186 -128
-857 -186 -128
-857 -186 -128
-857 -186 -128
-857 -186 -128
-857 -186 -128
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -187 -139
-842 -168 -143
-842 -168 -143
-842 -168 -143
-842 -168 -143
-842 -168 -143
-842 -168 -143
-842 -168 -143
-842 -168 -160
-880 -196 -160
-880 -196 -160
-880 -196 -160
-880 -196 -160
-880 -196 -160
-880 -196 -160
-880 -196 -160
-856 -178 -172
-856 -178 -172
-856 -178 -172
-856 -178 -172
-856 -178 -172
-856 -178 -172
-856 -178 -172
-856 -178 -172
-860 -157 -177
-860 -157 -177
-860 -157 -177
-860 -157 -177
-860 -157 -177
-860 -157 -177
-860 -157 -177
-860 -157 -177
-829 -183 -178
-829 -183 -178
-829 -183 -178
-829 -183 -178
-829 -183 -178
-829 -183 -178
-829 -183 -178
-829 -183 -178
-823 -189 -167
-823 -189 -167
-823 -189 -167
-823 -189 -167
-823 -189 -167
-823 -189 -167
-823 -189 -167
-823 -189 -167
-818 -188 -121
-818 -188 -121
-818 -188 -121
-818 -188 -121
-818 -188 -121
-818 -188 -121
-818 -188 -121
-818 -188 -121
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -168 -184
-842 -182 -175
-842 -182 -175
-842 -182 -175
-842 -182 -175
-842 -182 -175
-842 -182 -175
-842 -182 -175
-842 -182 -175
-864 -207 -174
-864 -207 -174
-864 -207 -174
