latitude	longitude	distance	cap_act	cap_obj
48.19922666666666	-3.01447	1	359.6545261206569	257.4148203615896
48.19922666666666	-3.014471666666666	2218.917195783485	357.11260404354596	257.4551636680185
48.19922833333333	-3.014471666666666	2215.3373524561703	345.7515411096194	257.3922309236347
48.19923000000001	-3.0144733333333336	2210.251483586046	333.14700063529745	257.3700714568606
48.19923166666668	-3.0144749999999996	2201.5857715423504	326.9462803079192	257.3483339420276
48.19923333333333	-3.0144783333333334	2192.920059657444	317.650844048404	257.3643686345015
48.19922666666666	-3.0145049999999998	2180.6745048314133	311.4780652335952	258.61957133996435
48.19922833333333	-3.01453	2143.7404708933823	309.31937646974643	259.95714162287265
48.19922833333333	-3.014543333333333	2084.9569255697206	300.41430497334255	261.0744149643892
48.19922666666666	-3.014558333333333	2056.3181567527163	297.7885195847081	263.04987792231884
48.199223333333336	-3.0145766666666662	2029.1853990871482	292.1130754620932	266.8829525457446
48.19921833333333	-3.014595	1999.9787987815728	290.939084834672	273.31309229758733
48.199209999999994	-3.014608333333334	1975.858044772025	291.2749014303603	282.74533283986557
48.19920666666667	-3.014626666666666	1972.6485441109025	291.66272333635925	293.8008735458593
48.19920333333333	-3.0146466666666667	1943.4418997010998	288.2056475291677	307.7856106750352
48.199198333333335	-3.0146666666666664	1910.6553886804772	295.555683684707	323.99335649298064
48.199200000000005	-3.0146883333333334	1882.9547166608127	304.391526443164	334.29123723045467
48.19920333333333	-3.014706666666667	1831.3307553962497	308.35086885405707	340.6123929041812
48.199200000000005	-3.014721666666667	1781.7806433582373	316.23697125914805	348.904411332717
48.199205	-3.014735	1759.733644990949	322.41036462434386	350.81773295296085
48.19920666666667	-3.0147549999999996	1715.8372410121233	325.7843422408017	356.03412195221745
48.199209999999994	-3.0147699999999995	1667.7931085447376	331.8181552494831	358.4214350172765
48.19921333333333	-3.01478	1625.402694000672	335.2055369579083	359.45719590564045
48.199221666666666	-3.014788333333333	1593.7518516980713	339.7960561574374	358.41229009661515
